"BU_NAME","IMPEXP_TYPR","CONTAINER_NUM","SHIPPING_LINE_OPERATOR","VESSEL","VOYAGE_NUM","ARRIVAL_DATE","DEPARTURE_DATE","ORIGIN_COUNTRY","PORT_OF_LANDING","DESTINATION_COUNTRY","PORT_OF_UNLADING","TEU","GOODS_VALUE_USD","NOTIFIER_NAME","CONSIGNEE_NAME","SHIPPER_NAME","ITEM_DESCRIPTION","BL_NO"
"NEPTUNIA","Export","PCIU8687531","PACIFIC INTERNATIONAL LINE","IRENES WAVE","W018","20190914","20190915","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8746378","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8814050","PACIFIC INTERNATIONAL LINE","IRENES WAVE","W018","20190914","20190915","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU4593650","PACIFIC INTERNATIONAL LINE","IRENES WAVE","W018","20190914","20190915","","Callao , Peru","","Shanghai , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU9496381","PACIFIC INTERNATIONAL LINE","KURE","008W","20190914","20190915","","Callao , Peru","","Xiamen , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8189605","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","TEMU6868372","PACIFIC INTERNATIONAL LINE","IRENES WAVE","W018","20190914","20190915","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","CAIU8566640","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU4629769","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shanghai , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU1179523","PACIFIC INTERNATIONAL LINE","MEDITERRANEAN BRIDGE","006W","20190911","20190912","","Callao , Peru","","Yantian , China",1,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8816937","PACIFIC INTERNATIONAL LINE","LLOYD DON GIOVANNI","007W","20190918","20190919","","Callao , Peru","","Yantian , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU4634868","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shanghai , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU9221194","PACIFIC INTERNATIONAL LINE","ROTTERDAM","W008","20190831","20190831","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","DFSU6382748","PACIFIC INTERNATIONAL LINE","IRENES WAVE","W018","20190914","20190915","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8563422","PACIFIC INTERNATIONAL LINE","KURE","008W","20190914","20190915","","Callao , Peru","","Xiamen , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8779495","PACIFIC INTERNATIONAL LINE","IRENES WAVE","W018","20190914","20190915","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU7983668","PACIFIC INTERNATIONAL LINE","KURE","008W","20190914","20190915","","Callao , Peru","","Qingxi , China",1,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8451551","PACIFIC INTERNATIONAL LINE","ROTTERDAM","W008","20190831","20190831","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU9274933","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU9492149","PACIFIC INTERNATIONAL LINE","IRENES WAVE","W018","20190914","20190915","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","TCNU5961515","PACIFIC INTERNATIONAL LINE","IRENES WAVE","W018","20190914","20190915","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","BMOU4838375","PACIFIC INTERNATIONAL LINE","IRENES WAVE","W018","20190914","20190915","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8972729","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8942663","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8695239","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","SEGU6136631","PACIFIC INTERNATIONAL LINE","IRENES WAVE","W018","20190914","20190915","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","GLDU9066400","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8871385","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","CXDU1746700","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8633350","PACIFIC INTERNATIONAL LINE","IRENES WAVE","W018","20190914","20190915","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","TGBU2248938","HAPAG LLOYD CORPORATION","MSC SHUBA B","936R","20190918","20190919","","Callao , Peru","","Shanghai , China",1,"","","","INKABOR S.A.C.","ACIDO BORICO TQ",""
"NEPTUNIA","Export","GESU1068308","HAPAG LLOYD CORPORATION","MSC SHUBA B","936R","20190918","20190919","","Callao , Peru","","Shanghai , China",1,"","","","INKABOR S.A.C.","ACIDO BORICO TQ",""
"NEPTUNIA","Export","PCIU8259512","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU9085354","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8269320","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","SEGU1691971","PACIFIC INTERNATIONAL LINE","MEDITERRANEAN BRIDGE","006W","20190911","20190912","","Callao , Peru","","Ningbo , China",1,"","","","INKABOR S.A.C.","PRODUCTOS QUIMICOS Y COLORANTES EN GENERAL - BORATOS - ACIDO BORICO",""
"NEPTUNIA","Export","BMOU4380852","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8620543","PACIFIC INTERNATIONAL LINE","IRENES WAVE","W018","20190914","20190915","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","CAIU8892950","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU9226576","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8776393","PACIFIC INTERNATIONAL LINE","IRENES WAVE","W018","20190914","20190915","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8203200","PACIFIC INTERNATIONAL LINE","KURE","008W","20190914","20190915","","Callao , Peru","","Xiamen , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8920725","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","CAIU8898768","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU9494413","PACIFIC INTERNATIONAL LINE","IRENES WAVE","W018","20190914","20190915","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU9496442","PACIFIC INTERNATIONAL LINE","IRENES WAVE","W018","20190914","20190915","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU9495955","PACIFIC INTERNATIONAL LINE","IRENES WAVE","W018","20190914","20190915","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8868102","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU4547470","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shanghai , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8490408","PACIFIC INTERNATIONAL LINE","AGIOS MINAS","W007","20190921","20190922","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8673728","PACIFIC INTERNATIONAL LINE","ROTTERDAM","W008","20190831","20190831","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU8629350","PACIFIC INTERNATIONAL LINE","IRENES WAVE","W018","20190914","20190915","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU9267847","PACIFIC INTERNATIONAL LINE","IRENES WAVE","W018","20190914","20190915","","Callao , Peru","","Shekou , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
"NEPTUNIA","Export","PCIU9266250","PACIFIC INTERNATIONAL LINE","LLOYD DON GIOVANNI","007W","20190918","20190919","","Callao , Peru","","Yantian , China",2,"","","","HANSA SERVICIOS MARITIMOS S.A.C.","CONTENEDOR VACIO",""
